COU,COUNTRY,VARIABLE,"VARIABLE EXPLANATION",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
PAK,Pakistan,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13.367,13.884,15.082,15.369,15.544,16.213,17.063,18.122,20.939,26.266,32.579,36.441,39.755,43.347,46.203,50.39,55.386,60.574,63.771,69.927,73.114,75.5,78.915,86.391,93.953,100,113.053,124.479
PER,Peru,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5E-06,5.3E-06,5.7E-06,6.6E-06,7.5E-06,9E-06,1.22E-05,1.679999999E-05,2.66E-05,5.23E-05,8.58E-05,0.0001432,0.0002357,0.0004854,0.0010133,0.0027171,0.0047467,0.0087984,0.0571679,1.582,100,498.009,813.283
PHL,Philippines,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,4.273,4.306,4.221,4.107,3.958,3.951,4.037,4.18,4.26,4.351,4.589,4.73,5.051,5.488,5.734,5.964,6.29,6.648,6.972,7.308,8.404,9.458,10.1,11.926,15.625,16.927,18.483,19.852,21.677,24.979,26.596,29.873,32.473,37.091,56.873,66.902,68.877,74.042,81.185,88.518,100,116.527,125.771
POL,Poland,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,0.112,0.151,0.154,0.158,0.163,0.167,0.168,0.168,0.174,0.185,0.185,0.193,0.195,0.208,0.217,0.217,0.235,0.247,0.259,0.281,0.333,0.333,0.351,0.359,0.355,0.382,0.979,1.177,1.385,1.699,2.046,2.576,4.116,12.127,100,338.59,1472.527
PRT,Portugal,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,8.414,8.37,8.261,8.279,9.107,9.199,8.673,9.199,9.199,9.275,9.275,10.119,10.119,10.119,10.841,11.309,11.675,12.827,13.655,14.345,15.222,16.762,19.718,23.324,21.975,24.183,28.77,29.199,32.246,37.343,40.795,46.546,54.602,60.63,68.735,76.076,82.857,88.442,100,115.506,129.031
SLV,"El Salvador",AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,8.217,8.071,8.001,8.106,8.173,8.278,8.18,8.148,8.164,8.199,8.595,8.623,8.715,9.589,10.666,11.473,14.06,16.652,16.794,19.121,21.689,22.932,25.192,28.298,31.772,38.302,52.489,59.851,69.647,81.174,100,112.782,122.828
SWE,Sweden,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,10.092,11.715,12.717,12.719,12.591,12.769,13.441,13.928,14.353,14.516,18.872,19.318,20.221,20.617,20.552,20.855,21.802,22.271,22.195,21.698,21.854,23.243,24.791,27.149,31.074,33.126,36.47,40.038,43.676,46.873,52.71,56.888,61.325,69.37,72.029,77.007,81.895,85.96,91.488,94.374,100,105.366,105.358
SYR,Syria,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6.221,6.575,6.451,6.763,7.433,7.791,7.474,7.948,8.526,8.096,8.937,12.02,12.812,14.119,15.644,17.391,20.193,23.722,27.791,28.46,29.895,32.037,33.349,42.128,52.83,67.948,83.798,100,105.581,112.978
TTO,"Trinidad & Tobago",AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8.724,9.126,9.94,9.935,10.121,10.792,11.991,14.532,22.889,28.513,30.793,34.901,36.006,44.902,55.112,57.882,64.902,69.781,74.006,74.942,74.005,77.608,80.896,86.787,100,100.825,108.505
TUN,Tunisia,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,13.825,15.602,15.124,15.751,15.94,17.657,17.932,18.64,18.567,19.294,20.186,21.293,21.904,23.78,29.587,31.066,31.961,35.048,37.312,41.19,46.465,51.764,60.05,65.643,70.453,73.847,76.135,81.281,88.2,94.597,100,107.228,113.922
TUR,Turkey,AgDef,"Agricultural Sector Deflator (1990=100)",.,.,.,.,.,.,.,.,.,.,.,.,0.08,0.083,0.091,0.097,0.099,0.103,0.11,0.117,0.122,0.128,0.143,0.168,0.196,0.239,0.305,0.355,0.419,0.522,0.749,1.276,2.582,3.666,4.702,6.054,9.042,13.015,17.129,23.67,39.436,64.786,100,159,260
