COU,COUNTRY,VARIABLE,"VARIABLE EXPLANATION",1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
JAM,Jamaica,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.37727,1.2,1.2,1.20858,1.20083,1.303,1.10812,1.1,1.1,1.1,1.1,0.742392,0.561308,0.5613,0.5613,0.5613,0.53295,0.257067,0.180367,0.182525,0.182242,0.1822,0.174633,0.139775,0.091075,0.0437
JPN,Japan,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00276127,0.00277357,0.00279043,0.00279276,0.0028669,0.00329878,0.00368603,0.00342688,0.00337041999999,0.00337308,0.00373592,0.0047965,0.00458092,0.00442825,0.00454541999999,0.00402832999999,0.00421149999999,0.00421491999999,0.00422399999999,0.00597075,0.00693383,0.00781108,0.00726574999999,0.00693858,0.007439,0.007903
KEN,Kenya,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.14,0.14,0.14,0.14,0.14,0.14,0.142442,0.14,0.136585,0.119522,0.120838,0.129504,0.13375799999999,0.134312,0.111985,0.0916929,0.0751845,0.0695293,0.0608857,0.0616335,0.0607971,0.0564106,0.0487717,0.0436672,0.0364757,0.0312037
KOR,"South Korea",Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00368463,0.00361491999999,0.00347146,0.00322038,0.00289508,0.00254657999999,0.00251052999999,0.00247810999999,0.00206610999999,0.00206610999999,0.00206610999999,0.00206610999999,0.00206610999999,0.00165736999999,0.00146864,0.00136827,0.00128966,0.00124089999999,0.00115025,0.00113458,0.00121657999999,0.00136925,0.00148925,0.00141257999999,0.00136392,0.00128124999999
LKA,"Sri Lanka",Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.204332,0.168691,0.16816,0.167842,0.168365,0.161418,0.156336,0.150418,0.14333,0.119173,0.120579,0.0640667,0.0642207,0.0606309,0.0521216,0.0480516,0.0425572,0.0393194,0.0368211,0.0356974,0.0339808,0.0314672,0.0279057,0.0249609,0.0241783,0.0228262
LUX,Luxembourg,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.02,0.02,0.02,0.02,0.02,0.02299999999999,0.026,0.026,0.027,0.026,0.028,0.032,0.034,0.034,0.027,0.022,0.02,0.017,0.017,0.022,0.027,0.027,0.025,0.03,0.029,0.03099999999999
MAR,Morocco,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.198298,0.197046,0.197389,0.198552,0.19913,0.217373,0.244049,0.228922,0.246945,0.22641,0.222075,0.240323,0.256542,0.254481,0.194295,0.16641,0.141767,0.113886,0.0994592,0.10992,0.119694,0.121891,0.117851,0.121459,0.115128,0.117267
MDG,Madagascar,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.00406511,0.00403944999999,0.00385805,0.00361805,0.00363182,0.00396102,0.00450286999999,0.00415445999999,0.00467229999999,0.00419118999999,0.00407114,0.00444002,0.00470340999999,0.00473963,0.00370146999999,0.00289189,0.00233969999999,0.00175075,0.00151175,0.00149067,0.0010015,0.000715417,0.000623833,0.000669833,0.000547167,0.000537083
MLT,Malta,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.75097,2.39998,2.39998,2.39998,2.44954,2.60953,2.72317,2.59467,2.62024,2.35343,2.36877,2.59739,2.79111,2.89619,2.58939,2.42817,2.31352,2.1718,2.13848,2.54815,2.8981,3.0251,2.8712,3.15273,3.1002,3.14618
MUS,Mauritius,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.205998,0.179528,0.179276,0.179699,0.183068,0.187638,0.183913,0.175429,0.166636,0.149674,0.15136499999999,0.162367,0.160097,0.130172,0.112938,0.0920267,0.0856217,0.07279919999999,0.064885,0.0742992,0.07769,0.07456329999999,0.065645,0.06744999999999,0.06407749999999,0.0643417
MWI,Malawi,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.37639,1.2,1.2,1.2,1.20364,1.24676,1.22168,1.18885,1.15876,1.09572,1.10763,1.18587,1.22428,1.2317,1.1184,0.953819,0.854379,0.709792,0.586161,0.538921,0.453977,0.391288,0.362588,0.367,0.3573,0.285252
NIC,Nicaragua,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
NLD,Netherlands,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.277594,0.27626,0.275942,0.276508,0.285173,0.311587,0.359529,0.372498,0.396351,0.378597,0.407622,0.463084,0.498733,0.503713,0.40267,0.374885,0.351294,0.312743,0.303674,0.409945,0.494483,0.507081,0.472161,0.550516,0.536924,0.569973
NOR,Norway,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.139852,0.139997,0.13997,0.139917,0.141751,0.151795,0.174059,0.18100399999999,0.191852,0.18336,0.187909,0.190955,0.197515,0.202573,0.1747,0.15585,0.137153,0.123017,0.116926,0.13532399999999,0.148592,0.153665,0.144936,0.160086,0.154822,0.161347
NZL,"New Zealand",Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.35543,1.117,1.11518,1.11932,1.14158,1.1952,1.36148,1.40037,1.21567,0.996283,0.970833,1.03776,1.02288,0.974208,0.869958,0.751858,0.668825,0.578475,0.4984,0.523917,0.592208,0.655967,0.598458,0.59695,0.57915,0.538125
PAK,Pakistan,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.208473,0.208408,0.20823,0.208563,0.21,0.13296,0.100147,0.10101,0.10101,0.10101,0.10101,0.10101,0.10101,0.10101,0.10101,0.084805,0.0762592,0.0712892,0.0627875,0.0601192,0.0574767,0.0555792,0.0487675,0.04607,0.0420942,0.0398742
PER,Peru,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,32524556.03981,25839793.2816537,25839793.2816537,25839793.2816537,25839793.2816537,25839793.2816537,25839793.2816537,25839793.2816537,24691358.0246913,17730496.4539007,11933174.2243436,6410256.41025641,4444444.44444444,3460207.61245674,2369668.24644549,1432664.75644699,613496.932515337,288184.438040345,85470.0854700854,64516.129032258,38461.5384615384,3968.25396825396,248.756218905472,4.83091787439613,0.89206066012488,0.57636887608069
PHL,Philippines,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.254859,0.254453,0.254318,0.173833,0.15548,0.149893,0.148011,0.14737,0.138102,0.134279,0.135002,0.135471,0.135375,0.132978,0.126483,0.117046,0.0918652,0.0612053,0.0537599,0.0490924,0.048567,0.047409,0.0460152,0.0413844,0.0364042,0.039227
POL,Poland,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.025,0.025,0.025,0.025,0.025,0.025,0.033,0.033,0.033,0.033,0.033,0.0301,0.025,0.0227,0.0196,0.0118,0.01089999999999,0.0088,0.0068,0.0057,0.0038,0.0023,0.0007,0.0011,0.00089999999999,0.0007
PRT,Portugal,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0346715,0.0348091,0.0350117,0.0349333,0.0354188,0.0369642,0.0409078,0.0393788,0.0392321,0.0331649,0.0262747,0.0228299,0.0204486,0.0199879,0.01632369999999,0.0127585,0.00920199999999,0.00687573999999,0.00587808,0.006689,0.00710283,0.00696066999999,0.00635657999999,0.00703183,0.00694158,0.00742487
SLV,"El Salvador",Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,0.4,0.4,0.4,0.4,0.4,0.399999,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.209167,0.2,0.2,0.2,0.152645,0.12474499999999,0.1197
SWE,Sweden,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.193719,0.19349,0.193419,0.192819,0.195449,0.209985,0.229471,0.225576,0.241464,0.229682,0.223767,0.221507,0.233351,0.236561,0.19871,0.160728,0.130539,0.121097,0.116757,0.140519,0.157856,0.163386,0.15519399999999,0.169201,0.165779,0.17265199999999
SYR,Syria,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.26178,0.26178,0.26178,0.26178,0.26178,0.26178,0.261566,0.267978,0.27027,0.259766,0.254777,0.254777,0.254777,0.254777,0.254777,0.254777,0.254777,0.254777,0.254777,0.254777,0.254777,0.089087,0.089087,0.089087,0.089087,0.089087
TTO,"Trinidad & Tobago",Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.572215,0.498687,0.497988,0.499163,0.50852,0.521215,0.510868,0.487301,0.462877,0.411051,0.41667,0.41667,0.41667,0.41667,0.41667,0.41667,0.41667,0.41667,0.410882,0.27778,0.27778,0.261847,0.23529,0.23529,0.23529,0.23529
TUN,Tunisia,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.92308,1.92308,1.92308,1.92308,1.92949,2.0961,2.38006,2.29327,2.4897,2.3325,2.33186,2.40321,2.46051,2.4701,2.03825,1.70079,1.47706,1.29238,1.20198,1.26589,1.20735,1.16825,1.05371,1.13978,1.08469,1.13264
TUR,Turkey,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.110619,0.110619,0.110619,0.0932907,0.0671002,0.07067139999999,0.07067139999999,0.071818,0.0693075,0.06236,0.0556969,0.0415754,0.032929,0.013559,0.00909208,0.00615774999999,0.00449207999999,0.00276667,0.00192482999999,0.001491,0.00117682999999,0.000721667,0.000474083,0.000385,0.000246292,0.000147583
TWN,"Taiwan, China",Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.0249688,0.0249688,0.0249688,0.0249688,0.025,0.0249688,0.0261878,0.0263158,0.0263158,0.0263162,0.026316,0.027047,0.0277632,0.0277787,0.02715,0.0255734,0.0249596,0.0252568,0.0250973,0.026393,0.0315449,0.0349812,0.0379019,0.037251,0.0373066,0.0397423
TZA,Tanzania,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.14,0.14,0.14,0.14,0.14,0.14,0.142442,0.140161,0.136186,0.119384,0.120654,0.129778,0.121761,0.12200199999999,0.120728,0.108057,0.0910554,0.0672071,0.0573275,0.0373617,0.0158075,0.01015669999999,0.0070375,0.00512917,0.00457833,0.00341
URY,Uruguay,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9770,4250,4000,4000,3920,1870,1160,836,444,299,214,165,127.2,109.9,92.4,71.9,29,17.8,9.9,6.59999999999999,4.4,2.8,1.7,0.9,0.5,0.3
USA,"United States",Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VEN,Venezuela,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.22472,0.22472,0.22472,0.22472,0.224888,0.22989,0.232906,0.23337,0.23337,0.233131,0.23296,0.23296,0.23296,0.23296,0.23296,0.23296,0.232695,0.148293,0.13333,0.127966,0.06896549999999,0.06896549999999,0.0330991,0.0213945,0.0176512,0.0147046
ZAF,"South Africa",Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.39461,1.39472,1.39265,1.39586,1.39818,1.29505,1.44379,1.47216,1.36629,1.15,1.15,1.15,1.18785,1.28543,1.14913,0.924509,0.899088,0.695358,0.456385,0.440817,0.491405,0.442266,0.382177,0.386648,0.362799,0.350922
ZWE,Zimbabwe,Ex_Rate,"US$ to Local Currency Exchange Rate",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.4,1.4,1.4,1.39603,1.40967,1.51715,1.70679,1.69492,1.76028,1.59897,1.58862,1.47746,1.47078,1.55474,1.45175,1.32045,0.989483,0.803675,0.620408,0.600567,0.601983,0.555042,0.473217,0.40845,0.29165,0.1963
ARG,Argentina,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18151225534.4472,18631203710.1787,18540325416.7975,16831027600.9696,17176813782.9693,16771837999.1511,23120749852.5615,28490403066.4353,18578820875.0334,17445786193.5301,17367959988.1796,16591253712.5109,17176287428.9577,22820099948.3714,22028946415.7321,22559208647.3382,25497451984.2026,26798256584.4459,20590480140.3658,22528737279.8031,20681340903.8774,23366174130.0495,14171544545.1181,24597221089.3909,28547241293.67,30171168242.9536
AUS,Australia,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19068110399.6067,18747096250.2981,18798980789.815,18629974111.5341,18884265253.2071,20454753505.6262,26514575914.1311,29780808845.7861,28463940767.4345,28099206344.0339,26008228445.4819,26966981377.7559,27442298259.6788,28842007031.8435,29715178092.5414,27784121772.9973,25139669082.2979,25310944947.1945,21233112868.2733,21305117599.1626,22926232784.4105,26951127068.4396,27797393012.8539,27044269112.5218,25623993836.6856,23194751062.982
AUT,Austria,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16810496553.307,16264093401.0315,15672962521.506,15412403459.2883,15962503321.0818,17567125166.1081,20750692155.2602,21362817546.8992,21824605391.6976,20643590444.5298,21781965437.7537,24073620687.791,24662013651.216,24248755748.2967,18907217779.7659,17309217127.8529,16253366403.4438,14540233703.1546,13933528338.8706,18797010083.6561,22083731957.9526,21766286855.5051,19689495042.796,22592647207.7405,21978229245.9132,23412714940.4546
BEL,Belgium,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BLX,Belgium-Luxembourg,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8095735201.47912,7871730940.03367,7775406249.43142,7984035694.61546,8011927987.3622,9124602822.03789,10408711358.2152,11195344712.0831,11712203815.6517,11474235499.4186,12288451248.3349,13778993914.2576,14091768761.8814,13421053800.0226,10033199824.9508,8113374941.65782,7357301921.99241,6228541253.58692,6202939424.09609,7869647177.87108,9434735294.23521,9244975414.35992,8541965134.53494,10186129837.6691,9596984895.38183,10246726643.3603
CAN,Canada,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41808320118.8938,42216965403.9031,42625037754.3292,43608553556.3885,44289421353.428,46346357177.329,48649492802.4099,54432289834.2618,54881234566.6513,60834126275.8343,58777976449.9975,56720699523.7297,59304558923.6811,62946957967.0521,64436021602.7948,65257626833.7584,66386401671.4976,63091478101.1075,58810792123.6203,56959497426.213,59667874807.7456,63551738265.52,64841042395.2087,63120065695.2944,61070379015.3852,55051045331.9925
CHL,Chile,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6556106386.25077,6515827405.46898,6776627277.15498,6996039445.00613,7682688843.54418,9266707051.97229,18810194957.347,9407830398.4192,6499206330.6497,6765743938.39704,7903571101.39038,8157444354.01772,9785843796.24984,11227862028.7826,11808530431.576,10320705336.5116,7854629217.59688,7200320200.11405,5988784585.56387,6090596911.01619,6759140297.72493,7433500091.73694,7936560618.54615,8374676947.12132,9042361526.29208,10240917811.54
COL,Colombia,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3026768689.42047,2790458884.45378,2785949405.14453,2784555553.94138,2695313709.71618,2713779038.22422,2798217726.7896,3016102270.87132,2897891588.70222,3064216613.06197,3347004091.40273,3655872388.18171,3921545146.32618,4218523222.55375,4238622268.51919,4148984943.9288,3892660070.72908,3578315266.35045,3390527713.70104,3031541278.90738,2936966610.75227,3057225678.00228,2867303051.92152,2608057217.26093,2556616947.49303,2601995264.25459
CRI,"Costa Rica",AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,961643213.285513,973208132.093693,1013926748.44664,1087515109.64481,1110958298.69769,1145466991.34909,1268913332.50122,1252824421.00756,1314591955.66614,1423096681.33968,1525163806.653,1526565746.31651,1563061935.84818,1718100257.55795,974742837.792295,894583956.705378,1014328762.38691,1055946948.16285,1073049717.90973,1106367885.13409,1091793731.80529,1071864089.69211,1172289681.9725,1271506447.29458,1250058112.71065,1370444347.36502
CSK,Czechoslovakia,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15717774965.889,15618697806.0628,13493612833.5536,12695584319.077,13287508486.5285,13651718426.1574,15169085976.463,14499057573.1445,14511622087.8307,13998204214.5438,18070648048.3517,18400760903.6768,18391428965.9788,17504720210.3813,18026533687.6959,17649461048.6148,17816817030.9979,15498968836.1409,14677066298.9422,18115299336.2977,20458001569.367,19800334887.5589,18185447773.3666,15851420954.3701,9074835536.74926,9815819421.585
CYP,Cyprus,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,314429465.997931,284872579.995583,303654490.952048,316126867.115559,327760842.862121,379552590.817199,446721732.397261,447332757.038394,434751776.146309,406409269.427843,434489439.706836,520740158.268212,614440657.111205,681403692.109135,607031377.264711,579486533.281694,550551680.137272,538557360.318374,568064646.199014,737106222.561853,864723384.128984,910927920.721305,872614366.260795,950647970.229251,931317008.316751,953115398.19425
DFA,"Germany, West (former)",AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
DNK,Denmark,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7951735219.83217,7449451610.64298,7413623855.49145,8527597544.90231,8830925439.89407,9958441001.81643,12635139513.4057,14395509662.9895,16195612126.4244,16367418599.1049,17747025032.9898,20438261845.5822,22218431900.0807,21108100775.9033,16933166159.7988,14716969152.4333,13721546702.2301,12192743923.0445,12294217263.7416,16074847491.2779,18877267279.2753,18606675092.4765,16905764537.2217,19555386609.3163,18584236890.6376,19613263147.7972
DOM,"Dominican Republic",AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,168483855.046062,188322921.43331,202056158.946418,213925775.576739,218172049.069075,285592909.525615,343918486.531876,434599946.86474,529209113.718767,569003074.131095,658897702.143012,678765548.02477,799348315.903546,1006730678.52755,1070250569.70503,1097463283.78691,1127077050.50604,1319245861.12196,570866609.824527,638465584.197429,550345000.910388,470674373.948481,550343734.013505,705850106.687943,678115164.047323,718175450.490859
ECU,Ecuador,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
EGY,Egypt,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5036028237.04364,5006572868.03316,5032895324.78257,5029889175.29869,4965480098.51892,4941989829.12073,5735197858.74906,5944450237.90916,6097257060.25636,6588832827.16188,7066641666.04648,7715611527.86493,5176290502.04999,6107094043.67032,6217101074.53199,6742869545.34205,7420998758.85958,8714627971.91742,10326797216.0203,12314937837.4696,14591027228.6493,17297369229.1293,17754951095.6403,12164275115.1429,7216792379.4613,7820149155.37226
FIN,Finland,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10534481926.2623,8977049029.77326,8999635152.95616,9654054664.70292,10217918185.5655,10922640054.8351,13102532295.4835,15403816952.9057,16781178522.3902,16810485917.4683,17130073494.1162,16708945203.6873,17908881762.2285,20907983219.8968,18688197030.5317,17380083711.8218,16051310380.4325,15621918687.9503,15868787138.1674,19902979263.0822,23687506042.8218,25629425339.3976,26111921156.983,29849823104.9971,26554366866.307,21806077451.5231
FRA,France,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63384178694.1059,63130625563.0236,62376881655.197,52765802897.8529,54798092283.6239,62690295198.0835,75714934955.32,78300621175.0415,92661258353.5892,89436117547.4942,90328020483.7834,100731629483.662,110361585827.464,124286783237.811,98761748629.0637,87081308531.716,78691046769.7584,70017508565.3632,68655981445.2061,88314325928.5576,100171083018.196,99558231538.6444,91333073933.179,105959356752.742,100766709614.618,104367331442.704
GBR,"United Kingdom",AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25012769217.2606,21893957749.6292,22021268846.5497,23775977387.7188,25473255453.3639,28400199625.6181,31651191697.5624,34633423333.7232,37200934338.0583,32931551963.2958,33995932932.9478,39529190052.4884,46960806487.415,59488915016.1176,51611221459.909,43412796126.4281,37688339274.0515,33473547037.833,32738389240.185,37197918368.2582,41627030671.8897,45737945226.9414,42661690801.7041,46221356949.9759,42995231818.8479,44125961039.4097
GRC,Greece,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5478391097.43025,5899255635.65253,6240370032.50209,5828479779.10809,5885701274.66524,6305775119.54117,7528103518.16303,8622603734.53413,8414229775.66107,8315155464.38941,9337030591.91885,10434784469.8011,11787364225.618,11212725250.3466,9315449991.73196,8264628208.30177,7335574461.28868,6655142318.50948,6287721093.50546,7265254584.58261,7802232378.56043,7874698419.16317,7462940350.43989,8048302771.32522,7871186147.09997,7910597230.90656
GTM,Guatemala,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,951986951.217834,927589284.842636,893827803.351566,886496081.060873,830608858.216359,788249770.158646,859813335.333485,938291279.531019,996661429.196046,1083420782.15354,1242804002.69802,1271269128.6759,1293215111.33742,1312026660.95298,1319951534.99751,1298528946.02561,1315567243.65361,1308009928.44828,1485284145.86346,1319810899.97712,846609907.317447,849396844.650568,823810648.472202,694735238.63723,765970920.030143,777541132.893109
HND,Honduras,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1813013020.20433,1695015750.73313,1620612654.16555,1555582350.11137,1482336636.44213,1460675302.43799,1471158242.36778,1526197807.71774,1545346565.60248,1515975543.47668,1506226533.72062,1396415235.33844,1334223973.72716,1326377815.98415,1209711879.01142,1115618852.25331,1072511341.51202,997656183.476425,940406420.226223,884012219.245219,820361000.952313,793271068.240683,774132899.043138,469422207.119028,370788640.965092,357175470.359225
IDN,Indonesia,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,315268881.976087,374420253.259608,440324468.681707,595961682.727127,603904111.314323,769163280.778264,1313290846.33425,1819845932.68031,2119829408.57686,2574239139.31236,3043586351.01448,3341077195.59842,2873342675.27326,3550797183.65337,3754497756.87996,4427894352.18332,4037413229.12386,3789135899.45617,4181769838.70396,5105093447.62366,5909128230.29897,7216091928.96525,8851301536.68737,13147570793.775,14264976885.6219,14736570466.5137
IND,India,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40279183289.6016,43210853215.0185,43558836063.7664,44639164040.1654,45096842720.2341,46882980840.8774,50082882721.612,53836317919.5196,57171126431.4875,51413606164.7699,55464042573.752,61367417600.8916,62329574777.4014,72573638018.1768,70887605532.5041,70452282668.6392,71240490216.3559,68531922618.6935,67279666565.1742,71851737264.4491,73936473962.9018,74282408734.0573,67712405717.1071,67005096372.2109,57642934162.1764,56105790091.0252
IRL,Ireland,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3160491308.56792,2811895715.41043,2988381233.45851,3402126661.31974,3830061836.05401,4647311861.48333,5176870485.07931,5630822404.44572,5913313794.16618,5769736440.02886,6588629014.04279,8112023253.68834,9693815710.78038,10806220452.6722,9115359589.8774,6212551303.22254,5742790398.64578,5206216482.21295,5236941447.50995,6590182180.19404,7336083128.21497,7843034156.32679,7667861176.19642,9121696025.26131,9039794342.94056,9646277570.57922
IRN,Iran,AgSECap,"Agricultural Fixed Capital, 1990 US$",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7545163698.80829,7106690277.72768,6620310425.96621,6245095002.05467,6778905135.88757,7331075871.41035,10742956312.5316,16358394487.6485,17009261680.1698,18977515117.2591,21947548157.8089,22739645376.5336,26572883215.5992,30149292519.8842,31023682049.739,31152391731.5862,33031719932.5215,33194396224.7148,32869963021.1853,41164032025.1683,53051978233.0846,61160677890.3981,65334757261.0761,79189223961.8222,94795566487.6209,118664043172.986
